user_id,actions_total_count,average_action_duration,sessions_total_duration
0162c7s9xo,8,11,18
0165xv7l4p,7,31,98
0171cgdh5r,3,3,0
0174n9s5zb,17,6,23
017hizxm3t,2,14,5
017rmzerma,13,5,7
017xmi55i2,1,3,0
018hagx0ak,11,8,19
018ohg6x31,4,20,22
018pzk08a1,24,2,6
019chjonln,23,5,21
019h7z9hyq,0,1,0
019m4zvzgn,12,3,3
019mc8biwf,23,6,33
019rnywata,8,3,1
01a4aq3lx5,11,6,10
01abo5ge4d,20,3,6
01azaxsab3,27,6,41
01b1nq2bd3,0,4,0
01b38fp04a,15,6,18
01bgo63nhd,5,11,9
01bkwy6yj6,12,5,7
01c9r7ie91,11,9,22
01cj73ax7u,1,61,73
01d0rmob25,5,20,29
01dayfw8pb,10,14,44
01dh30zqjd,8,18,46
01dh6l1e0v,4,35,67
01dq5wt9wi,20,10,69
01e5z8uboa,23,4,20
01ew44r315,15,2,1
01exzqnc72,18,4,11
01ez9tkx4j,42,4,51
01fg7p4sw4,15,9,34
01fw2lvx95,8,10,14
01fwvwj7ty,9,5,5
01h3bi25td,3,6,1
01h847y59t,22,2,6
01hfd5lsel,6,23,49
01hwxjvgv9,46,2,25
01imhrckdb,7,25,70
01isr5pepu,12,3,4
01j8386d5o,8,21,64
01jpu3s93u,0,3,0
01k7ukdrq8,17,8,30
01khid4m8b,14,17,95
01kv2ppj25,36,7,97
01l0vcvuks,3,16,10
01l5gtpaww,1,5,0
01lepjs4ob,10,10,22
01luupsq2i,3,22,17
01m8ip0i8n,3,3,0
01mc83wvzb,5,10,7
01mlkg3zzo,7,11,16
01nq1sjufy,9,12,27
01nvbbx1ex,3,11,6
01o9c11yqp,3,13,7
01p3ynmfs7,28,5,40
01p5c8u6uu,11,6,10
01p6v22cpv,12,16,75
01pf0x59hw,2,11,3
01prgm98hp,18,4,10
01pu2kpp16,9,6,6
01qg7x3r0i,9,5,4
01qvb6ufnz,14,10,36
01r1eo9sy4,12,10,29
01r1jwa1bt,19,8,46
01r3iatdvv,8,10,14
01rhnp842p,12,2,1
01rxy1cqen,10,18,70
01sab9628i,2,2,0
01t3q8gtl5,28,5,38
01toc3l9y5,18,6,22
01txi6fdmp,4,13,11
01uqiyywt0,1,2,0
01v8snvai9,5,11,9
01vcdymtdm,1,5,0
01vm0x5xgu,13,8,21
01vn1up05f,8,6,5
01vqtdhket,6,10,8
01w22yhf78,36,6,77
01w5zolph1,12,6,11
01wlak3qqf,7,3,1
01wt0ipfjy,10,22,92
01wx38ktej,11,3,2
01x9xtvnj9,9,5,4
01xw5fkmyq,5,3,1
01y0pr4z4m,12,4,5
01y5ghkbcn,6,10,9
01y7ip21qv,9,8,12
01y7vkmqv1,35,6,78
01z9aubobv,5,13,11
01zb5k0yh2,6,10,10
01zm75r23f,5,28,54
0204hiia1e,14,8,25
020ia9eujh,7,13,20
020qjhjqe8,11,7,12
020t9l5tx8,14,3,3
021h9b5hoe,13,14,63
021hmh1f5i,3,12,7
021jjbvslg,10,9,19
021vzwpa8w,23,3,9
022m8al7xx,17,4,10
022tctcqid,6,5,2
023mzjguit,15,5,13
024ata8x3d,7,5,4
025qxbsaog,8,4,2
025sv1949e,7,7,6
0262vs5rv9,15,7,20
026a0etyle,11,6,9
026vkxnrk4,19,11,70
02708gikhn,14,6,14
0283egj0y1,9,23,82
0291diw5cw,19,10,63
029elfv342,5,13,11
029q92mbfc,21,3,6
02a81kpn4e,13,8,20
02asl3rrf6,36,4,32
02ba36r0nc,8,7,9
02bt4nuqa7,25,6,40
02c9qrqjjj,0,22,4
02ce32w92h,21,8,47
02cge47jti,0,5,0
02czjh08pf,12,4,5
02de4s2hih,7,8,7
02dhda2kmg,6,5,2
02ecq5h910,6,12,13
02eegxrmj7,14,4,7
02fcjjq68w,4,5,1
02fijefank,5,16,21
02fmcylrlm,7,5,3
02fn9c7olr,21,11,93
02fpbgovh4,6,20,36
02g0fo4l82,28,4,19
02g9duq4ga,13,6,12
02gffb0lmn,18,3,8
02havb7pzy,2,30,27
02iiv5uezr,8,7,8
02ik7t8rkk,13,14,62
02im2ohths,7,8,8
02j260ssrf,6,9,8
02j4ylsh0c,5,21,35
02k49wa6hr,6,7,4
02k8wrwgnu,18,6,22
02kb36zdhj,9,15,40
02kt8tm26z,15,5,13
02lwrezgcg,20,7,30
02m32xboxk,3,6,2
02mmcmyxg7,2,14,5
02mt1crsnv,10,5,6
02mz7mbybi,9,3,1
02n7m15h1g,23,9,77
02n8sodt3y,5,10,7
02ncc0ecqf,7,6,4
02oc9de1sl,4,5,1
02p64iakjq,25,4,18
02pvwhxx93,10,12,33
02q0ty05cd,8,3,2
02qb0auypq,10,9,20
02qfbyaf6w,1,13,3
02r7iod8l7,9,6,6
02rwvvi7oz,8,7,7
02sb9a97k6,15,12,61
02sdu24lxu,16,4,8
02sgboyndc,16,4,10
02sin79z6x,18,8,37
02sjeoorpr,9,8,12
02sozgahea,19,4,11
02szevxnoq,7,12,16
02tcqbrxx2,40,3,34
02tptrizx7,19,10,68
02twbekd24,5,8,4
02uj0ftceu,7,6,4
02uoki5320,8,18,48
02uxtg3dik,15,9,33
02vkwidp14,32,1,4
02w52j3jea,20,11,85
02wtzvhxn0,6,22,48
02x37esx4i,23,8,57
02xa1emuaf,10,12,29
02y2ip8rgp,8,6,4
02ys5fs5ii,11,13,43
02z0mwv33k,17,13,93
030c8t8bl6,19,10,61
0310kb1tb0,6,6,4
031r1hf01q,26,3,13
031t8x9lia,7,8,8
031tm6kgcm,17,5,14
031xzrmpw0,22,5,26
032fkjc285,16,8,30
032nrcprr4,9,5,4
032xdj62yj,10,3,3
033oexa2qw,9,14,36
033qwzzv1o,6,17,27
0345yf7vn3,43,2,19
034allh3nj,13,6,14
034wb5yojk,21,4,11
0351iaxpmi,4,8,3
035wxdnz4m,3,6,1
036qtdh8u5,10,7,10
0375vz017c,9,18,54
037h89adk4,1,2,0
037sfsryq2,2,8,2
03851lf962,2,6,1
038c6xuq98,9,15,41
038fa3ysec,13,6,11
038hzjd6ib,6,24,51
038m85qtt1,16,5,11
038sonvxoa,11,4,4
038u3944xs,0,0,0
038woowsui,21,10,77
038y8b0qq7,41,5,82
039664pl26,15,5,9
039ab1dd7b,1,1,0
039ejh5uei,34,6,64
039wokuc77,0,1,0
039y0r29tw,3,26,30
03a1n3qz37,12,4,5
03ajtcs3m6,9,2,0
03aux2xpxi,19,4,13
03bc811kwk,9,6,6
03c7ihv5r8,8,25,99
03cb4nfq8y,16,5,14
03d749c8pq,12,16,73
03de07cu9g,3,7,1
03dhyin1wr,4,20,23
03dv6xhyqj,12,13,46
03e4ldtkwr,9,3,2
03ehpjb1xi,10,12,34
03elnptx6z,22,7,37
03f1zxtzk0,53,3,57
03f8wbfd66,5,8,4
03fu4odod3,22,2,6
03fu6zodma,24,8,62
03gc0lvuq8,10,19,76
03gcpdivng,10,7,11
03gyrx2m3z,2,4,0
03h5dc9gbq,0,0,0
03h94o8qr4,17,7,28
03hmovubqj,28,5,30
03im9sqlcr,13,6,11
03inaenb06,5,20,29
03is9o4ta9,17,6,23
03iwwnwa5v,20,3,9
03j27kl1xn,12,15,65
03jbozytmd,14,4,7
03jnh7qpzd,9,3,1
03jwfmjamq,17,7,27
03k4r8hsdl,20,3,9
03k8e2zw4q,20,6,24
03k8tvbgsp,6,11,11
03kal0lv27,5,5,2
03kh2dkwwj,0,0,0
03kvrukcp2,1,1,0
03l13akemf,38,6,79
03muk8w7xc,19,3,6
03n7soui00,22,6,33
03nheise4m,19,11,75
03njevzg8e,21,11,89
03nz3v2q4x,8,10,15
03odh83v7y,18,9,44
03os3h8yfn,6,11,12
03p0e2peta,7,6,4
03p2geaaw0,41,1,6
03p4y7n05u,29,3,12
03p55lmo7n,9,9,15
03p56fu0af,14,12,58
03p5svybpv,9,4,2
03pqczvm5j,10,4,3
03psvn9yfb,9,10,18
03qbeknjp1,11,20,98
03ql8i57t4,12,4,6
03qptb1u93,16,5,15
03qt8zn5pa,15,4,7
03qtkpnx47,7,17,33
03r6rwznc0,8,4,2
03rorbjfeh,6,8,6
03s21mu1mp,3,7,2
03sn98n94o,18,5,16
03sydi15z1,5,6,2
03tpez6uov,5,5,2
03u2zovryy,9,7,9
03vhpovswg,18,7,27
03voupy8qx,0,1,0
03vwjhzzxb,4,13,11
03wcj6jo3r,22,7,41
03x4nibbrh,15,3,6
03xa1sfo09,5,28,60
03xbqktnu5,6,11,13
03xvfy76e6,32,3,19
03y2r6gwj1,13,4,7
03yww9mfbn,12,11,36
03yyerv2a0,12,4,5
03zx8if88h,7,8,8
03zxczo2fk,21,11,94
0402kx7n8x,32,4,32
040cpm4ciq,11,9,19
040cuxr26u,3,10,3
041df88r51,24,7,46
04298l5vgs,3,12,6
0431ssr0wu,4,3,0
04350ryixj,15,13,71
0437op6vmq,2,4,0
043bsiwk01,12,11,33
043ed95ayp,4,8,3
043jwvzwxy,3,7,2
043x30q1qb,36,1,7
044959ww4h,43,4,60
044j7dp3sz,17,10,58
0450u5omq2,8,22,69
0453273vbn,0,0,0
0455t3ahlq,10,13,36
0460wz8rby,3,5,1
0466lq65dq,29,5,33
046io03d0w,14,8,21
047oldgs79,8,6,5
04937gvqw2,8,12,20
04a9rdv6x4,1,1,0
04aid4m647,26,8,71
04atg7t0xx,14,3,4
04atpt58sz,42,5,73
04axt8ttbj,7,4,2
04b2x0vevo,11,4,4
04bblnahlz,6,4,1
04bdmlkis8,9,16,45
04bln2rj6f,10,5,6
04bxj7mfy1,6,17,27
04by4w91pk,1,3,0
04bzkdej2v,17,8,35
04c4kuru8n,21,6,26
04c7mr7t02,4,5,2
04d2s6rmb1,15,3,5
04d68cd73s,8,23,73
04d6fniy6x,11,6,9
04dac64whh,14,3,3
04dd5hjwrx,0,0,0
04dfftbfvu,6,14,18
04e3vmahwo,12,14,52
04e6lzztwz,2,5,0
04e76b64iz,17,6,20
04echiiv9f,2,5,0
04ekmt35n1,25,8,67
04elqabggm,17,7,26
04emeeqj02,5,4,1
04esjoutcq,5,32,70
04ewjnywy5,33,1,2
04f1b7kd09,3,1,0
04f6bp4pvn,10,19,74
04fi0ztk7q,5,6,2
04fobh50fb,1,28,16
04fzdotqyw,7,25,72
04g2w1vlrz,6,6,4
04gbg5q520,7,27,91
04ge0i584t,13,16,87
04gsh40s7b,7,5,3
04gz3rygmf,4,20,21
04h7v1ynp5,1,20,6
04hh251dk7,21,6,28
04hqi7pk9f,14,10,41
04iass22kl,20,5,20
04idsycofv,15,3,5
04j5j8oneb,7,7,6
04jhphwehb,2,2,0
04jntlcoaz,3,11,4
04jycdz0sg,7,28,96
04k5a44j20,25,8,72
04k9h4hugg,22,2,6
04kd9afiil,3,4,0
04kpklw4af,6,18,32
04kwlgm6ke,6,34,98
04kwu8wbay,11,4,5
04kxufzn84,5,4,1
04l00vzqt6,14,3,4
04l44kcij2,32,6,73
04l4ut0j7g,11,7,11
04l4vs3ysa,26,1,3
04l6zb5cpf,6,27,64
04lej9b4sm,36,4,38
04lrqeodpc,8,4,2
04lwkcb11n,4,11,6
04m7acv1pp,8,10,14
04myog3r8i,6,30,79
04ndmv4pzf,6,21,42
04nmhe65ka,2,2,0
04o1oqg9ot,8,12,22
04oi1795q5,3,19,17
04ouahws0e,11,1,0
04oyq6brkp,10,10,22
04p9ongqrv,22,7,40
04pd5hw6wn,29,7,64
04re661wzb,11,12,33
04rw6xun6m,10,13,33
04s2auftas,1,7,0
04s8xmha59,3,5,1
04sgzsm546,11,7,13
04t8baz57f,18,4,12
04tx79cf3d,8,26,99
04u5q51vmt,5,5,2
04uh49i88z,9,6,6
04v8ghload,35,1,6
04wc90871z,4,5,1
04wi2hoyo6,0,4,0
04wnx4jyui,24,4,14
04wt3rz94l,12,19,99
04xakxmff7,23,2,4
04xzadyw81,0,3,0
04y8115avm,13,4,5
04yc1ou6t7,18,5,15
04yk19u4bh,7,14,25
04ymkfxed6,5,11,9
04zt8iy0rd,16,12,60
0505hf3lqi,5,7,3
050e1z5g3l,6,8,6
05155brjtx,5,24,45
051he0jk2k,27,3,11
051uhxd72s,8,7,6
052q02510d,30,6,58
0534yu80jk,4,32,62
053mvljf36,34,4,38
055cqcqgln,5,15,14
055texouzb,16,8,28
056mdvuvw7,0,0,0
056qnsw0nz,16,13,84
056t8rgj4z,19,2,3
056vz1l1rf,16,7,26
057xsgtabp,38,6,80
0583agn73p,0,0,0
058h6gp2af,14,6,13
059gpvc0ag,25,2,4
059kli1srp,2,18,8
059mwrgpkv,23,10,90
059polzs34,4,21,22
05ai1t9fa2,22,5,25
05am1cv3k4,9,3,1
05amc84soa,15,8,26
05bi5i8h8b,10,4,3
05bs51sno3,3,4,0
05c68d2or4,7,6,4
05ccrvp8aq,6,11,10
05cdi1y8tk,7,8,7
05cj8gwrfn,19,3,7
05cjhxxgom,1,9,1
05d3awab7r,26,6,41
05d5oouxh3,11,14,44
05d8xwlij7,8,8,10
05dajvxi0r,14,12,54
05ddj4bsgo,14,15,88
05dhk22h05,12,3,3
05e3fmj2od,13,8,19
05ejw8dszw,8,18,45
05eml9mod4,20,4,12
05f4j714qi,6,19,36
05fqwcqyte,8,4,2
05g62oi67o,9,23,84
05g6rxcqcr,12,6,9
05gcpyogwi,12,5,6
05gtje6w4g,1,22,9
05gv4vehug,9,6,7
05hpojom7s,17,4,11
05hrpaaryk,20,8,45
05hytbz2op,14,7,21
05icup10qk,27,8,84
05ieafyzyp,7,18,42
05ixqjfea6,3,36,53
05izk4llqc,11,17,68
05kkzmm4zd,31,5,38
05kw6myma1,13,8,23
05la8yh0nv,5,31,69
05lsky1lrh,8,2,0
05m9gqwo42,6,4,2
05mk3ik0t8,12,5,6
05mwl5sk8y,5,8,5
05n0ug73pg,6,6,3
05nu8vdvlv,7,6,3
05o379w9qu,11,8,14
05o65qb0c3,8,5,3
05oi95br12,11,8,17
05os8n2aq6,7,5,3
05ovtrz9d1,11,7,12
05pa0vpjhq,15,10,44
05q5z646d9,4,18,16
05qczkb6gg,14,5,9
05qzic5x3l,2,17,8
05rokc2ikl,1,4,0
05rqloyvbw,1,3,0
05sh0nejxo,6,17,24
05ssknx1tz,4,5,1
05svu37ejk,13,12,47
05tbglisyd,20,2,5
05tho4lf9w,18,7,33
05u0828yjv,5,13,12
05uc4lnoj6,19,4,13
05ue22u118,50,3,51
05uoxew2iq,8,13,26
05uz7l4it5,23,3,8
05v30vd5t4,8,8,9
05v75ksbvy,30,6,64
05vw2fakdi,26,5,38
05vwuwjk5z,9,7,9
05wa0uxq7c,10,8,14
05wf3nrqw6,14,2,3
05whky1aso,22,10,76
05wnlsdfu8,6,9,6
05x77kdr2f,5,4,1
05xkkfxs5v,2,15,5
05xp886mpi,23,8,60
05xsj8w658,7,3,1
05y07py2rp,4,2,0
05y0ul7tjx,12,5,7
05y1mb6959,17,6,16
05yjq0v7f3,18,4,9
05z5s6c2fu,17,10,50
05z5trjk1e,5,21,35
05zd88hgr2,16,14,90
05zmw5t3t7,6,6,3
05zpznorbv,5,3,0
05zt2xhw61,34,2,8
05zu01nuug,25,2,6
05zv5cx2lb,18,3,7
05zy2xrdy4,14,5,10
05zy4jl4zn,21,10,80
05zznjnw3i,17,9,42
0606tlacal,39,4,41
060qdp6rpz,33,7,81
060re1mnp4,14,5,8
0617z06esk,21,4,11
0618h2uatd,2,1,0
061jdwzzjz,4,20,24
061ulkr60b,20,4,12
0624szt2om,1,1,0
062oxv8bu6,3,2,0
062qybhouw,10,6,9
063ncxsex2,8,24,88
064cfomyz7,1,30,13
064co2ynz4,3,25,21
064crpsimh,28,6,47
064ft1o2mm,0,2,0
0659ctcimz,11,7,14
065sv8cuxh,7,5,3
066e4qs0h1,11,4,5
066m7i5lcg,17,7,29
066tuwrh7k,3,6,1
0671467n3n,16,3,4
0671mrxng0,10,12,27
0678oryy95,7,10,12
067cmlhbt2,12,12,43
067hk6hl4p,7,12,15
067hzusgo9,16,5,12
067mtrfnep,12,5,7
068xr1r2n5,6,5,2
069l17qggc,11,7,13
06a5iunmlx,26,3,10
06a6t2lslg,5,14,15
06ad4gve6k,8,11,18
06afpo0de6,3,1,0
06ahoj6bal,31,1,3
06b7cxhsqq,12,11,34
06bokjixs2,11,17,65
06bpz28wr1,3,42,60
06bv2vv7lu,0,0,0
06bwh5oorr,7,20,46
06c86tr0ea,15,11,50
06ccm5zkoj,16,7,21
06cdfxnv9x,0,3,0
06cfe7ygs7,2,6,1
06djr62ks4,3,6,1
06dresdguj,9,7,11
06dttrjqsb,10,13,39
06dy5hbktp,12,9,25
06echc56pl,21,6,29
06f2fl5f8x,4,20,20
06f4m5rq7j,3,22,19
06fq93giv5,35,6,64
06frcs7jd6,5,2,0
06g9m9046h,13,3,2
06gb3hlq7t,24,6,35
06gua8rf5q,7,4,2
06h0rofddb,2,16,6
06hai3gw9k,8,18,54
06hbu7l17y,33,6,64
06i1lqeqcn,15,7,22
06i29ezbrf,6,5,2
06ifsitagz,14,11,45
06is0dyvcq,16,6,20
06iyhjub01,9,12,25
06j1lfd966,11,13,41
06j3rorwur,2,1,0
06j7mqm5ig,11,5,5
06jaq92ufb,6,9,8
06jduntyxk,7,2,0
06jfso8tz4,7,4,2
06jgups6io,34,6,68
06jk3inp9p,6,8,5
06jvpovbjb,30,3,16
06k4jprazh,11,9,23
06khem3efs,2,27,22
06kswxm7rw,3,5,1
06lckiu8gt,8,10,17
06lghr7p26,0,1,0
06mj5ab13s,8,14,31
06mwisfnh0,14,6,13
06n39nopnq,2,5,1
06nmq7euhl,10,2,1
06nrga15rp,11,5,6
06nw6p1rx7,19,3,7
06o3idddl4,22,4,16
06onmgd7c4,1,1,0
06p6b6xft0,2,36,38
06p9pzzj38,21,4,14
06pni6lyoa,29,4,30
06pzk21x5s,8,2,1
06qfot8wbs,30,5,34
06qktjgtf5,42,2,19
06qomf4nds,48,4,75
06r7plwtat,9,12,25
06rl2rlic8,0,52,26
06s1b93zvc,8,9,11
06s8vlv35q,25,4,19
06sdsrx579,1,4,0
06sjcvw5tl,5,8,5
06sr2tkewn,15,8,28
06stehla2t,16,7,27
06sxc47lld,7,10,14
06t5vzo7nb,19,3,8
06te3rdrpk,1,1,0
06tprvhy8p,11,4,5
06u3jaae3c,24,6,34
06uhdpj5r4,5,8,4
06v2ui01sd,1,2,0
06vx64ejph,6,10,9
06vyewr5ud,3,39,60
06wpr1l67j,6,28,72
06wwoxrljv,17,3,7
06x1a2lbm4,24,6,42
06xjqjxmh4,20,10,69
06xmwmkn39,9,9,15
06y3igvfsg,8,15,30
06y5n0daxh,6,11,10
06ycwrz4xm,23,9,65
06yqk4h5fe,25,9,79
06yter8zfe,3,4,0
06yul1nvae,22,4,15
06zimbcd7m,1,1,0
06zl20e1sn,9,21,73
06zzom3a66,11,9,19
070g8q1177,8,13,26
070nm568pj,10,6,8
070r5ldzm8,2,12,4
0719vvlwmc,3,34,47
071cxq6c2c,15,9,37
071tmnuovp,28,2,9
071uc8p9dl,0,45,19
072c5dvzcs,3,7,2
072gthz3ef,13,10,36
072jbaaf82,5,6,2
072tzxx3iy,7,18,34
073dzf2x6s,31,5,36
073jbxgqsd,19,10,66
073ord77i1,8,17,39
074gdpe0zx,5,3,0
074o37yvee,17,6,19
0752j3jnj7,19,10,68
07533fhi1s,5,26,56
0753a90mxr,17,7,28
0757jdbq5e,5,5,1
075fdcnz1q,6,11,10
075ielnazp,24,7,48
075r80rn29,8,7,7
076a8vz170,4,20,23
076lfmrkf2,8,16,37
076u1z1mpz,9,18,57
077btchdys,10,5,4
077c0n73hz,14,3,4
077hu6p9fw,24,10,96
077xu3mfnu,11,5,5
078g3yodld,13,14,69
079cbs0msz,7,15,26
07a3g1xtlw,18,9,49
07axa4tnau,22,4,14
07b1x7faw0,2,25,15
07bxi1aaby,8,10,15
07cqf4apk0,10,11,26
07djnx77rd,2,20,10
07f640d79y,13,6,12
07fqufoai5,14,5,10
07ghga5mdk,10,3,1
07gm5l8wdw,14,5,12
07gsr5xpyi,8,5,4
07gz1yw10y,12,4,5
07hl90tjsj,10,10,21
07hlc557bf,24,7,48
07ib5ijano,2,37,41
07ieyu94m8,29,2,5
07ifh0e1ii,18,6,23
07ijdlbui4,2,7,1
07j7cwg3xi,10,11,24
07jd9bv9zg,0,1,0
07jgg3uk85,11,9,20
07jsdu6on8,17,9,41
07jzhv61ca,7,3,1
07k82t112g,7,13,21
07khnl8qvk,14,3,4
07kivwznyr,4,19,21
07ksm7p22e,14,5,11
07lf8qbywm,27,5,37
07m4kdym4w,4,6,2
07mba72zco,6,11,13
07mc57xcao,0,0,0
07mjxnfogd,8,5,3
07mq2l3bkt,21,8,51
07n05n81gm,16,10,45
07o3dbrnie,11,5,6
07o7hpj5xy,2,9,2
07odtt2fao,0,0,0
07oxa0f5ie,4,39,74
07p5ccjpke,10,17,67
07pvv1u1yj,11,6,8
07qaihzqm2,3,2,0
07qdpy3hnl,3,11,5
07rw7xn9ba,6,5,2
07rw84uz9j,5,27,55
07sa8dzgjn,3,5,0
07sdk7vesz,13,6,15
07sf53v4w4,10,17,61
07t10aem60,14,7,17
07talwrj82,11,2,1
07tmyhhuma,0,0,0
07tnpqqd50,34,4,27
07tqjkldx4,20,11,85
07ttwg3mhx,13,17,92
07u5zribjs,0,0,0
07uj7rw2h7,10,15,46
07unuo91fa,10,14,43
07uskni4co,19,7,28
07vdl2ksq3,12,6,10
07w9xhp63t,6,5,2
07wa6q4e1o,9,9,13
07watt77xk,14,7,20
07x9tjt5ro,21,2,5
07xicv2mhb,23,6,33
07xzdv7v8n,17,11,64
07zl5ajyhf,9,6,7
07zrmbud10,24,7,50
07zro8kfr4,11,3,2
07zxiwkv2s,4,19,22
0802p0197t,9,7,10
0806z7trwl,4,18,20
080h4q8l6z,1,2,0
080io8q6za,19,11,79
081hg88uyw,9,19,62
0822dgbe5u,8,19,48
082ff0zljr,7,4,2
082slkd456,6,21,41
0837xw1s6q,12,6,12
083jbqx9ax,5,7,4
083lc8hhu5,12,8,22
083st5lez7,15,7,19
0841jupk8m,4,6,2
084576euim,10,4,3
084aktqhmc,0,1,0
084lft4ugp,13,12,49
084rnunfif,3,7,1
0850bilz7i,1,1,0
086fzy4hbm,43,5,67
086js7qa1k,9,16,49
086jz2fpuy,1,11,2
086m0wh6li,7,16,33
087l2vu4tk,4,8,3
088guwlqpl,14,10,40
08aa8ammqm,16,5,12
08aftgs7ew,11,6,10
08aoich5kd,12,6,9
08b28nc73e,6,6,3
08b8p068wh,4,5,1
08bxn9ynhl,7,5,3
08bzalbh5k,1,3,0
08ce7eh6ps,14,2,2
08clif8gvx,2,10,2
08ctm3quj9,2,31,23
08debvu8e5,12,6,11
08ekbl6ueo,5,24,47
08et67fh9k,7,6,5
08fi082ch6,34,6,78
08fvvjrfuj,22,4,15
08g16x5n49,10,12,28
08gbnj0h13,3,17,13
08ggsdhcmp,8,20,56
08gukftlc5,28,3,14
08h9jdyu8o,8,7,9
08hd5pi2xp,12,10,30
08i20gi7yr,4,6,1
08i26877bh,4,17,16
08i4r40l2m,6,10,10
08if358c7k,4,9,5
08iq2p6zcp,7,11,14
08iv6rjjym,14,8,22
08jldb3gqx,11,5,6
08kx4pqoih,1,11,2
08lwg42i0u,6,9,9
08ogge1tbf,8,22,72
08omhc3ic4,14,4,6
08q55w4e5q,12,5,8
08q6w8ct18,8,23,86
08qeqqp6li,4,5,1
08qn2wbf0d,0,1,0
08qr6g2rsd,0,0,0
08quqx8ikn,9,12,23
08qxvgvbbt,18,5,16
08r4ref5hs,0,0,0
08rpgfx8nz,4,14,10
08slzvkvnv,12,4,4
08t65zdm3f,7,22,53
08t7edbgre,0,0,0
08t88sn329,13,12,47
08tkjxpyc7,20,8,50
08tqxafz9g,15,6,17
08tzorh0bp,11,18,71
08u5ahw8gl,20,7,31
08uacn7bal,6,26,65
08uep3mq5s,5,23,36
08ujpnlbyy,10,4,4
08upsqg4uv,11,7,13
08uw5xzbqu,17,12,75
08vbg0ebcq,10,7,11
08vvh7t6ot,9,11,21
08vyotwiq2,12,13,44
08wvteh8mi,14,7,20
08x92wfjzy,0,1,0
08xet6ynk8,14,6,14
08yw0b5ccw,10,4,4
08zapowgl3,0,1,0
08zirtq7dr,50,2,17
08zjft457d,6,6,3
08zk2riput,24,5,30
08zn7yrfac,1,18,6
0900278qas,10,12,31
09019tgpkf,8,3,1
0904w0mxej,7,6,4
0907zarrbp,16,6,19
090mu9vypl,3,43,73
091rknleii,0,1,0
